date,index,fluc,individual,foreigner,institution,financial investment,insurance,investment trust,other financial,bank,national?pension,private equity fund,nation,other corp
2015-02-26,1993.08 ,0.0013 ,-1388 ,2317 ,-1006 ,-728 ,-173 ,-180 ,-45 ,62 ,-269 ,257 ,69 ,87 
2015-02-25,1990.47 ,0.0073 ,-2996 ,2076 ,1118 ,-1240 ,69 ,573 ,-32 ,23 ,849 ,788 ,88 ,-197 
2015-02-24,1976.12 ,0.0039 ,-1201 ,806 ,486 ,-188 ,-375 ,145 ,-35 ,181 ,704 ,64 ,-12 ,-80 
2015-02-23,1968.39 ,0.0035 ,-930 ,1279 ,-104 ,31 ,-175 ,-706 ,-40 ,10 ,650 ,43 ,83 ,-237 
2015-02-17,1961.45 ,0.0016 ,-788 ,-255 ,1255 ,-138 ,-107 ,-123 ,-25 ,110 ,1353 ,132 ,53 ,-212 
2015-02-16,1958.23 ,0.0004 ,-326 ,1302 ,-948 ,-245 ,-141 ,-575 ,-46 ,3 ,124 ,-21 ,-47 ,-53 
2015-02-13,1957.50 ,0.0082 ,-2328 ,1751 ,656 ,-52 ,-158 ,134 ,6 ,97 ,202 ,351 ,77 ,-63 
2015-02-12,1941.63 ,-0.0021 ,232 ,-598 ,334 ,59 ,-333 ,316 ,27 ,-77 ,275 ,79 ,-11 ,27 
2015-02-11,1945.70 ,0.0051 ,-1459 ,1001 ,720 ,125 ,5 ,260 ,65 ,3 ,189 ,25 ,48 ,-261 
2015-02-10,1935.86 ,-0.0057 ,944 ,-1316 ,396 ,-9 ,-89 ,-313 ,45 ,-49 ,879 ,-51 ,-17 ,-42 
2015-02-09,1947.00 ,-0.0044 ,525 ,-1062 ,494 ,258 ,-311 ,-198 ,-71 ,106 ,481 ,-59 ,289 ,57 
2015-02-06,1955.52 ,0.0014 ,-9129 ,4317 ,4710 ,320 ,138 ,1854 ,99 ,162 ,1700 ,456 ,-19 ,121 
2015-02-05,1952.84 ,-0.0051 ,2193 ,-1158 ,-1099 ,-182 ,-86 ,-437 ,99 ,5 ,-22 ,-125 ,-351 ,46 
2015-02-04,1962.79 ,0.0055 ,-2450 ,2255 ,268 ,-238 ,21 ,262 ,57 ,57 ,703 ,96 ,-691 ,-65 
2015-02-03,1951.96 ,-0.0004 ,145 ,-304 ,143 ,-30 ,-283 ,95 ,78 ,58 ,643 ,250 ,-668 ,7 
2015-02-02,1952.68 ,0.0018 ,315 ,39 ,-506 ,247 ,-70 ,-1118 ,75 ,-17 ,893 ,-520 ,2 ,149 
2015-01-30,1949.26 ,-0.0009 ,1441 ,-953 ,-324 ,1339 ,18 ,-1524 ,-49 ,-3 ,315 ,-414 ,-6 ,-166 
2015-01-29,1951.02 ,-0.0054 ,1090 ,-2420 ,1233 ,237 ,-73 ,-1463 ,30 ,-118 ,3157 ,-555 ,17 ,109 
2015-01-28,1961.58 ,0.0047 ,-1307 ,-660 ,1864 ,353 ,466 ,-1309 ,38 ,-113 ,2178 ,316 ,-64 ,137 
2015-01-27,1952.40 ,0.0086 ,-2022 ,840 ,1029 ,222 ,-47 ,-717 ,-27 ,-10 ,1503 ,70 ,35 ,169 
2015-01-26,1935.68 ,-0.0002 ,735 ,-1092 ,-842 ,-200 ,-429 ,-1182 ,10 ,32 ,1015 ,-29 ,-58 ,1197 
2015-01-23,1936.09 ,0.0079 ,-1101 ,1001 ,-957 ,112 ,-8 ,-851 ,-46 ,-62 ,54 ,-91 ,-63 ,1069 
2015-01-22,1920.82 ,-0.0002 ,-863 ,611 ,-893 ,677 ,-227 ,-342 ,16 ,44 ,-909 ,-81 ,-71 ,1142 
2015-01-21,1921.23 ,0.0015 ,-114 ,698 ,-1587 ,-317 ,-224 ,-30 ,-6 ,14 ,-778 ,-233 ,-13 ,997 
2015-01-20,1918.31 ,0.0082 ,-2112 ,324 ,1705 ,809 ,337 ,-86 ,21 ,83 ,32 ,393 ,116 ,87 
2015-01-19,1902.62 ,0.0077 ,-1438 ,-259 ,1628 ,235 ,108 ,397 ,46 ,74 ,424 ,260 ,85 ,65 
2015-01-16,1888.13 ,-0.0136 ,2689 ,-3006 ,-1270 ,-344 ,-88 ,115 ,34 ,173 ,-358 ,-564 ,-237 ,1582 
2015-01-15,1914.14 ,0.0003 ,291 ,-2067 ,425 ,149 ,243 ,-274 ,3 ,109 ,-110 ,314 ,-10 ,1350 
2015-01-14,1913.66 ,-0.0018 ,719 ,-915 ,-835 ,-1240 ,73 ,-156 ,-54 ,28 ,697 ,-279 ,97 ,1024 
2015-01-13,1917.14 ,-0.0020 ,2721 ,-555 ,-3078 ,212 ,-76 ,-757 ,-37 ,-44 ,-1512 ,-304 ,-559 ,899 
2015-01-12,1920.95 ,-0.0019 ,-19 ,-818 ,-117 ,-212 ,-31 ,-80 ,9 ,-29 ,426 ,-170 ,-30 ,948 
2015-01-09,1924.70 ,0.0105 ,-2816 ,1604 ,777 ,-329 ,211 ,91 ,-23 ,67 ,656 ,198 ,-93 ,447 
2015-01-08,1904.65 ,0.0111 ,-1486 ,1960 ,-261 ,-1431 ,201 ,639 ,27 ,-5 ,331 ,-28 ,6 ,-191 
2015-01-07,1883.83 ,0.0007 ,1256 ,-2203 ,-37 ,-522 ,75 ,624 ,17 ,-44 ,-46 ,-153 ,12 ,991 
2015-01-06,1882.45 ,-0.0174 ,2731 ,-3301 ,-804 ,-1219 ,63 ,800 ,-20 ,-79 ,325 ,-672 ,-3 ,1382 
2015-01-05,1915.75 ,-0.0055 ,575 ,554 ,-2300 ,-1772 ,-87 ,234 ,32 ,23 ,41 ,-612 ,-159 ,1175 
2015-01-02,1926.44 ,0.0057 ,1264 ,264 ,-2040 ,-1975 ,190 ,112 ,-18 ,51 ,-149 ,-191 ,-60 ,490 
2014-12-30,1915.59 ,-0.0064 ,1479 ,-1002 ,-2027 ,-1685 ,-446 ,527 ,-25 ,-464 ,498 ,-346 ,-86 ,1539 
2014-12-29,1927.86 ,-0.0104 ,1273 ,-1186 ,-1659 ,-685 ,-110 ,-394 ,-66 ,-162 ,285 ,-638 ,111 ,1584 
2014-12-26,1948.16 ,0.0008 ,-3681 ,640 ,2992 ,723 ,343 ,809 ,-110 ,-81 ,970 ,219 ,120 ,28 
2014-12-24,1946.61 ,0.0039 ,-2317 ,540 ,1542 ,648 ,260 ,26 ,-33 ,-3 ,477 ,131 ,37 ,243 
2014-12-23,1939.02 ,-0.0021 ,-1392 ,-1157 ,1447 ,348 ,-75 ,223 ,-30 ,-39 ,924 ,77 ,19 ,1111 
2014-12-22,1943.12 ,0.0068 ,-1348 ,-532 ,1869 ,557 ,40 ,66 ,-49 ,-106 ,1216 ,107 ,37 ,39 
2014-12-19,1929.98 ,0.0171 ,-1823 ,-9 ,1833 ,-75 ,416 ,177 ,-43 ,-16 ,1322 ,43 ,9 ,14 
2014-12-18,1897.50 ,-0.0014 ,-627 ,-5243 ,4834 ,1939 ,378 ,1227 ,24 ,-33 ,1196 ,-12 ,114 ,1013 
2014-12-17,1900.16 ,-0.0021 ,-904 ,-4088 ,3952 ,2518 ,276 ,525 ,-37 ,-57 ,834 ,-227 ,120 ,1039 
2014-12-16,1904.13 ,-0.0085 ,1202 ,-4891 ,3459 ,2138 ,320 ,286 ,-23 ,-37 ,750 ,77 ,-52 ,238 
2014-12-15,1920.36 ,-0.0007 ,261 ,-3065 ,1650 ,591 ,299 ,-124 ,7 ,20 ,710 ,118 ,29 ,1134 
2014-12-12,1921.71 ,0.0027 ,-214 ,-2496 ,1840 ,288 ,76 ,185 ,-82 ,-76 ,1202 ,128 ,118 ,862 
2014-12-11,1916.59 ,-0.0149 ,3383 ,-7072 ,2010 ,775 ,222 ,661 ,-8 ,22 ,62 ,277 ,-2 ,1676 
2014-12-10,1945.56 ,-0.0129 ,1094 ,-1295 ,-259 ,-172 ,-57 ,117 ,-3 ,-56 ,142 ,-285 ,55 ,474 
2014-12-09,1970.95 ,-0.0040 ,-394 ,2316 ,-97 ,28 ,-101 ,349 ,-25 ,1 ,-141 ,-205 ,-3 ,-1795 
2014-12-08,1978.95 ,-0.0039 ,-313 ,1065 ,-712 ,-148 ,353 ,-639 ,-18 ,-23 ,-20 ,-134 ,-83 ,-38 
2014-12-05,1986.62 ,0.0000 ,-626 ,2311 ,-1748 ,142 ,435 ,487 ,-199 ,-39 ,583 ,17 ,-3173 ,70 
2014-12-04,1986.61 ,0.0085 ,-2679 ,444 ,1995 ,157 ,411 ,467 ,-206 ,-16 ,690 ,439 ,53 ,247 
2014-12-03,1969.91 ,0.0021 ,-1027 ,463 ,-145 ,-745 ,67 ,124 ,-41 ,60 ,343 ,33 ,15 ,712 
2014-12-02,1965.83 ,0.0003 ,-370 ,471 ,-895 ,-499 ,16 ,-191 ,-28 ,1 ,126 ,-393 ,73 ,832 
2014-12-01,1965.22 ,-0.0079 ,1226 ,627 ,-2095 ,-1766 ,221 ,-109 ,-9 ,56 ,31 ,-517 ,0 ,249 
2014-11-28,1980.78 ,-0.0007 ,941 ,526 ,-1512 ,-473 ,22 ,-579 ,-82 ,44 ,-4 ,-382 ,-58 ,47 
2014-11-27,1982.09 ,0.0006 ,-128 ,-233 ,375 ,-470 ,-164 ,257 ,-6 ,55 ,901 ,-90 ,-108 ,-55 
2014-11-26,1980.84 ,0.0003 ,-698 ,764 ,-70 ,272 ,192 ,356 ,-16 ,-92 ,324 ,-1109 ,3 ,1 
2014-11-25,1980.21 ,0.0008 ,-4158 ,3875 ,424 ,1349 ,137 ,-86 ,-15 ,35 ,-998 ,51 ,-51 ,-140 
2014-11-24,1978.54 ,0.0070 ,-4434 ,3533 ,866 ,648 ,77 ,-29 ,-15 ,82 ,-103 ,179 ,28 ,75 
2014-11-21,1964.84 ,0.0035 ,-1495 ,586 ,702 ,240 ,13 ,-46 ,8 ,-1 ,159 ,401 ,-73 ,213 
2014-11-20,1958.04 ,-0.0045 ,-892 ,3863 ,1425 ,1218 ,163 ,306 ,10 ,-15 ,149 ,-429 ,23 ,-4389 
2014-11-19,1966.87 ,-0.0001 ,-582 ,3757 ,69 ,-2 ,-25 ,89 ,-14 ,-17 ,120 ,-101 ,18 ,-3242 
2014-11-18,1967.01 ,0.0120 ,-2925 ,2410 ,707 ,351 ,-57 ,81 ,-13 ,-13 ,44 ,243 ,71 ,-183 
2014-11-17,1943.63 ,-0.0008 ,-1775 ,-321 ,1685 ,577 ,189 ,558 ,-71 ,-114 ,351 ,167 ,28 ,418 
2014-11-14,1945.14 ,-0.0078 ,-1825 ,-2393 ,3835 ,142 ,595 ,1417 ,13 ,34 ,1798 ,-226 ,62 ,402 
2014-11-13,1960.51 ,-0.0034 ,549 ,1118 ,-2039 ,254 ,-317 ,-437 ,-4 ,-23 ,-515 ,-1021 ,25 ,377 
2014-11-12,1967.27 ,0.0022 ,-324 ,-172 ,-305 ,-510 ,126 ,296 ,34 ,31 ,-338 ,55 ,2 ,798 
2014-11-11,1963.00 ,0.0024 ,-1274 ,1113 ,-480 ,-12 ,43 ,42 ,30 ,17 ,-764 ,35 ,128 ,662 
2014-11-10,1958.23 ,0.0095 ,-796 ,410 ,-48 ,125 ,219 ,-469 ,41 ,8 ,-18 ,-62 ,108 ,421 
2014-11-07,1939.87 ,0.0018 ,-48 ,-975 ,768 ,539 ,254 ,409 ,-13 ,15 ,67 ,-451 ,-50 ,254 
2014-11-06,1936.48 ,0.0026 ,-1351 ,-681 ,1611 ,868 ,151 ,220 ,31 ,-5 ,12 ,294 ,40 ,425 
2014-11-05,1931.43 ,-0.0019 ,-869 ,-1365 ,1881 ,1368 ,226 ,327 ,2 ,-57 ,-219 ,113 ,120 ,363 
2014-11-04,1935.19 ,-0.0091 ,351 ,-258 ,-487 ,669 ,-151 ,378 ,-21 ,44 ,-1053 ,-289 ,-63 ,377 
2014-11-03,1952.97 ,-0.0058 ,616 ,-44 ,-1034 ,310 ,-60 ,292 ,57 ,-49 ,-731 ,-862 ,9 ,470 
2014-10-31,1964.43 ,0.0028 ,-424 ,2795 ,-2923 ,-2121 ,50 ,76 ,-42 ,-36 ,-458 ,-317 ,-75 ,563 
2014-10-30,1958.93 ,-0.0011 ,1474 ,-227 ,-1376 ,-1426 ,233 ,579 ,-46 ,40 ,-313 ,-401 ,-42 ,132 
2014-10-29,1961.17 ,0.0184 ,-4070 ,1234 ,2762 ,1629 ,507 ,-436 ,6 ,-5 ,486 ,770 ,-195 ,69 
2014-10-28,1925.68 ,-0.0033 ,1092 ,-1478 ,438 ,876 ,6 ,572 ,-22 ,71 ,-87 ,-360 ,-617 ,-44 
2014-10-27,1931.97 ,0.0033 ,-954 ,-97 ,984 ,685 ,309 ,344 ,73 ,-111 ,-78 ,-176 ,-61 ,72 
2014-10-24,1925.69 ,-0.0031 ,1036 ,3567 ,3952 ,934 ,281 ,1733 ,-1 ,-13 ,729 ,-67 ,358 ,-8544 
2014-10-23,1931.65 ,-0.0027 ,669 ,-1935 ,1231 ,564 ,39 ,367 ,36 ,-133 ,419 ,-133 ,72 ,48 
2014-10-22,1936.97 ,0.0113 ,-1103 ,484 ,685 ,51 ,200 ,720 ,-83 ,-139 ,-192 ,380 ,-252 ,-19 
2014-10-21,1915.28 ,-0.0077 ,1169 ,-630 ,-552 ,212 ,-152 ,-71 ,-76 ,-113 ,1 ,-357 ,3 ,11 
2014-10-20,1930.06 ,0.0155 ,-1544 ,199 ,1175 ,-198 ,296 ,83 ,6 ,-41 ,236 ,745 ,49 ,163 
2014-10-17,1900.66 ,-0.0095 ,806 ,-3094 ,2135 ,2197 ,-72 ,78 ,-17 ,-180 ,-139 ,389 ,-120 ,154 
2014-10-16,1918.83 ,-0.0037 ,-656 ,-212 ,836 ,1178 ,-36 ,49 ,91 ,-493 ,-149 ,255 ,-58 ,38 
2014-10-15,1925.91 ,-0.0017 ,765 ,-1809 ,815 ,774 ,274 ,415 ,-45 ,-122 ,-246 ,-279 ,44 ,235 
2014-10-14,1929.25 ,0.0011 ,295 ,-2924 ,2487 ,618 ,473 ,1174 ,68 ,-343 ,52 ,455 ,-11 ,142 
2014-10-13,1927.21 ,-0.0071 ,-762 ,-3193 ,3738 ,1575 ,194 ,1357 ,100 ,-57 ,532 ,22 ,15 ,185 
2014-10-10,1940.92 ,-0.0124 ,845 ,-1861 ,922 ,344 ,-290 ,659 ,-42 ,107 ,100 ,-85 ,128 ,100 
2014-10-08,1965.25 ,-0.0039 ,572 ,-1567 ,753 ,-144 ,332 ,638 ,47 ,24 ,-264 ,103 ,17 ,238 
2014-10-07,1972.91 ,0.0023 ,233 ,-1786 ,1421 ,72 ,193 ,950 ,133 ,-67 ,60 ,-19 ,99 ,138 
2014-10-06,1968.39 ,-0.0039 ,1396 ,-1998 ,455 ,-3 ,105 ,450 ,0 ,-62 ,141 ,-186 ,11 ,145 
2014-10-02,1976.16 ,-0.0077 ,1002 ,-3858 ,2599 ,-121 ,-208 ,1763 ,171 ,-123 ,175 ,241 ,702 ,261 
2014-10-01,1991.54 ,-0.0141 ,1445 ,-1967 ,352 ,299 ,155 ,83 ,24 ,-41 ,367 ,-415 ,-121 ,178 
2014-09-30,2020.09 ,-0.0032 ,-1035 ,1841 ,164 ,72 ,-37 ,482 ,5 ,-23 ,-294 ,-17 ,-24 ,-978 
2014-09-29,2026.60 ,-0.0025 ,-101 ,570 ,-646 ,-88 ,-236 ,571 ,-57 ,-43 ,-431 ,-340 ,-23 ,189 
2014-09-26,2031.64 ,-0.0012 ,44 ,-221 ,199 ,-30 ,140 ,533 ,-24 ,73 ,-434 ,-6 ,-53 ,-10 
2014-09-25,2034.11 ,-0.0008 ,35 ,-1262 ,1176 ,650 ,-169 ,502 ,-22 ,-33 ,67 ,217 ,-38 ,51 
2014-09-24,2035.64 ,0.0033 ,-1107 ,-252 ,1297 ,881 ,-286 ,521 ,-25 ,-232 ,567 ,-114 ,-13 ,80 
2014-09-23,2028.91 ,-0.0051 ,-333 ,-2569 ,2854 ,2578 ,-181 ,1106 ,-10 ,-33 ,-504 ,-139 ,36 ,60 
2014-09-22,2039.27 ,-0.0071 ,1955 ,-2411 ,324 ,88 ,113 ,329 ,23 ,-29 ,-121 ,-13 ,-66 ,126 
2014-09-19,2053.82 ,0.0030 ,1056 ,-2408 ,2004 ,1788 ,667 ,18 ,30 ,-1934 ,940 ,385 ,110 ,-644 
2014-09-18,2047.74 ,-0.0072 ,2924 ,-1101 ,-1740 ,999 ,-485 ,-1159 ,-30 ,-169 ,-684 ,-15 ,-196 ,-98 
2014-09-17,2062.61 ,0.0096 ,-1637 ,266 ,1414 ,35 ,135 ,827 ,-24 ,-63 ,528 ,86 ,-110 ,-36 
2014-09-16,2042.92 ,0.0035 ,-650 ,-989 ,1501 ,-3 ,94 ,416 ,52 ,27 ,664 ,86 ,165 ,143 
2014-09-15,2035.82 ,-0.0030 ,-88 ,106 ,-41 ,250 ,-237 ,240 ,-34 ,-15 ,-52 ,-196 ,3 ,41 
2014-09-12,2041.86 ,0.0038 ,-119 ,-585 ,565 ,-543 ,-36 ,906 ,1 ,-129 ,535 ,-39 ,-130 ,142 
2014-09-11,2034.16 ,-0.0074 ,2627 ,-699 ,-2019 ,-2000 ,0 ,104 ,19 ,-312 ,162 ,52 ,-45 ,88 
2014-09-05,2049.41 ,-0.0033 ,285 ,502 ,-809 ,-713 ,-29 ,147 ,-38 ,-348 ,386 ,-113 ,-103 ,14 
2014-09-04,2056.26 ,0.0025 ,-584 ,699 ,27 ,-522 ,-184 ,974 ,32 ,-253 ,320 ,-316 ,-24 ,-137 
2014-09-03,2051.20 ,-0.0002 ,1241 ,1316 ,-2239 ,-1761 ,-177 ,-185 ,-22 ,-147 ,239 ,-123 ,-62 ,-324 
2014-09-02,2051.58 ,-0.0079 ,1858 ,323 ,-2172 ,-1292 ,-211 ,-353 ,24 ,49 ,97 ,-439 ,-48 ,-18 
2014-09-01,2067.86 ,-0.0003 ,234 ,649 ,-774 ,-1123 ,40 ,-47 ,15 ,-58 ,12 ,426 ,-38 ,-100 
2014-08-29,2068.54 ,-0.0035 ,209 ,1549 ,-1216 ,-1359 ,143 ,-304 ,-30 ,-12 ,81 ,280 ,-15 ,-542 
2014-08-28,2075.76 ,0.0004 ,-792 ,1275 ,-319 ,-277 ,-23 ,-525 ,-12 ,91 ,75 ,366 ,-14 ,-164 
2014-08-27,2074.93 ,0.0033 ,-749 ,514 ,440 ,659 ,40 ,-325 ,-1 ,-186 ,270 ,-145 ,127 ,-200 
2014-08-26,2068.05 ,0.0035 ,-1283 ,1013 ,388 ,502 ,47 ,-804 ,-7 ,-211 ,652 ,232 ,-22 ,-113 
2014-08-25,2060.89 ,0.0020 ,-629 ,-271 ,946 ,26 ,-44 ,562 ,-18 ,-84 ,300 ,201 ,3 ,-49 
2014-08-22,2056.70 ,0.0061 ,-339 ,1047 ,-483 ,-349 ,-122 ,105 ,26 ,-60 ,-57 ,8 ,-35 ,-231 
2014-08-21,2044.21 ,-0.0138 ,3817 ,15 ,-3722 ,-2615 ,-253 ,-304 ,11 ,-8 ,-44 ,-445 ,-65 ,-120 
2014-08-20,2072.78 ,0.0008 ,947 ,2344 ,-2384 ,-381 ,-168 ,-1068 ,-120 ,-323 ,198 ,-551 ,30 ,-908 
2014-08-19,2071.14 ,0.0088 ,-1499 ,1847 ,-132 ,-618 ,34 ,-78 ,-65 ,-146 ,873 ,-60 ,-73 ,-200 
2014-08-18,2053.13 ,-0.0049 ,1827 ,-31 ,-1635 ,-271 ,-40 ,-953 ,0 ,-90 ,-130 ,-173 ,21 ,-202 
2014-08-14,2063.22 ,0.0004 ,-226 ,1933 ,-1402 ,-468 ,-208 ,-655 ,-9 ,-125 ,100 ,63 ,-100 ,-302 
2014-08-13,2062.36 ,0.0102 ,-2674 ,4134 ,-1472 ,-1183 ,-164 ,-52 ,11 ,-123 ,-358 ,342 ,55 ,36 
2014-08-12,2041.47 ,0.0010 ,-283 ,972 ,-627 ,380 ,-820 ,-219 ,-5 ,-96 ,268 ,-80 ,-53 ,-74 
2014-08-11,2039.37 ,0.0041 ,467 ,-138 ,-339 ,-204 ,-556 ,319 ,-26 ,-2 ,86 ,-11 ,54 ,20 
2014-08-08,2031.10 ,-0.0114 ,2734 ,-2071 ,-431 ,40 ,-420 ,137 ,31 ,-162 ,248 ,-222 ,-82 ,-220 
2014-08-07,2054.51 ,-0.0030 ,1862 ,-497 ,-1305 ,-314 ,-175 ,-175 ,39 ,-41 ,-280 ,-354 ,-4 ,-51 
2014-08-06,2060.73 ,-0.0027 ,811 ,1840 ,70 ,-67 ,-131 ,-467 ,35 ,-102 ,181 ,545 ,77 ,-2724 
2014-08-05,2066.26 ,-0.0068 ,2682 ,1206 ,-3104 ,-57 ,-661 ,-588 ,41 ,68 ,-777 ,-98 ,-1034 ,-781 
2014-08-04,2080.42 ,0.0035 ,259 ,2212 ,-2528 ,257 ,-342 ,-1468 ,-61 ,-78 ,313 ,-328 ,-821 ,56 
2014-08-01,2073.10 ,-0.0015 ,-1817 ,-650 ,2536 ,3117 ,155 ,-686 ,-49 ,-403 ,147 ,166 ,90 ,-68 
2014-07-31,2076.12 ,-0.0031 ,-3170 ,4940 ,-1542 ,3795 ,84 ,-3193 ,-103 ,-715 ,-709 ,-664 ,-35 ,-215 
2014-07-30,2082.61 ,0.0100 ,-5756 ,6239 ,-349 ,433 ,1576 ,-1865 ,54 ,-276 ,26 ,58 ,-355 ,-130 
2014-07-29,2061.97 ,0.0064 ,-4753 ,3638 ,1310 ,1133 ,1069 ,-918 ,5 ,-204 ,524 ,-333 ,32 ,-189 
2014-07-28,2048.81 ,0.0074 ,-2662 ,1779 ,1205 ,-214 ,368 ,-174 ,42 ,-356 ,1137 ,282 ,120 ,-303 
2014-07-25,2033.85 ,0.0036 ,-801 ,504 ,962 ,357 ,-74 ,237 ,-26 ,-80 ,159 ,383 ,5 ,-664 
2014-07-24,2026.62 ,-0.0008 ,10 ,1757 ,-1679 ,146 ,261 ,-923 ,-12 ,-172 ,297 ,-41 ,-1236 ,-74 
2014-07-23,2028.32 ,-0.0003 ,-631 ,1018 ,-297 ,-56 ,176 ,-773 ,-28 ,-139 ,438 ,247 ,-163 ,-65 
2014-07-22,2028.93 ,0.0052 ,-585 ,1335 ,-703 ,422 ,-94 ,-626 ,-93 ,-154 ,-149 ,-13 ,5 ,-41 
2014-07-21,2018.50 ,-0.0005 ,420 ,982 ,-1346 ,256 ,-99 ,-695 ,-44 ,-191 ,-376 ,-268 ,71 ,-53 
2014-07-18,2019.42 ,-0.0007 ,1280 ,1206 ,-2532 ,-244 ,186 ,-591 ,88 ,14 ,1226 ,410 ,-3621 ,40 
2014-07-17,2020.90 ,0.0037 ,-1086 ,2282 ,-1215 ,-569 ,110 ,-206 ,-231 ,-173 ,-452 ,314 ,-8 ,25 
2014-07-16,2013.48 ,0.0004 ,-349 ,1551 ,-1202 ,-362 ,154 ,-436 ,-8 ,-89 ,-35 ,-308 ,-120 ,22 
2014-07-15,2012.72 ,0.0094 ,-1408 ,2816 ,-1484 ,-528 ,99 ,-169 ,5 ,-46 ,-31 ,160 ,-975 ,71 
2014-07-14,1993.88 ,0.0026 ,231 ,-70 ,-95 ,-153 ,-34 ,441 ,5 ,-2 ,66 ,-410 ,-8 ,-69 
2014-07-11,1988.74 ,-0.0070 ,2033 ,671 ,-2535 ,-334 ,-326 ,-1179 ,-42 ,-18 ,-359 ,-288 ,11 ,-166 
2014-07-10,2002.84 ,0.0012 ,760 ,1878 ,-2469 ,-1145 ,-193 ,-310 ,19 ,-27 ,-472 ,-441 ,101 ,-160 
2014-07-09,2000.50 ,-0.0031 ,1871 ,-702 ,-1085 ,-585 ,-42 ,-387 ,7 ,57 ,137 ,-273 ,1 ,-97 
2014-07-08,2006.66 ,0.0008 ,273 ,968 ,-1331 ,-492 ,-5 ,-427 ,-14 ,-9 ,-191 ,-123 ,-71 ,74 
2014-07-07,2005.12 ,-0.0023 ,703 ,1875 ,-2495 ,-257 ,-337 ,-1266 ,-11 ,-187 ,-110 ,-370 ,42 ,-83 
2014-07-04,2009.66 ,-0.0007 ,315 ,330 ,-647 ,643 ,-122 ,-897 ,-11 ,-88 ,-36 ,-59 ,-77 ,-2 
2014-07-03,2010.97 ,-0.0021 ,-238 ,1576 ,-1168 ,461 ,-7 ,-1161 ,0 ,-124 ,-365 ,9 ,19 ,-187 
2014-07-02,2015.28 ,0.0081 ,-2445 ,3125 ,-499 ,466 ,356 ,-1035 ,-12 ,-100 ,-146 ,-40 ,11 ,-203 
2014-07-01,1999.00 ,-0.0016 ,385 ,1004 ,-1271 ,188 ,-70 ,-615 ,-28 ,-163 ,-342 ,-214 ,-26 ,-112 
2014-06-30,2002.21 ,0.0069 ,-2006 ,1904 ,266 ,-37 ,309 ,5 ,-67 ,-272 ,533 ,-209 ,3 ,-155 
2014-06-27,1988.51 ,-0.0033 ,-4662 ,3095 ,1646 ,487 ,176 ,317 ,56 ,-53 ,713 ,-140 ,91 ,-74 
2014-06-26,1995.05 ,0.0067 ,-1778 ,928 ,1058 ,2443 ,-110 ,-1230 ,28 ,-196 ,169 ,-333 ,287 ,-193 
2014-06-25,1981.77 ,-0.0063 ,49 ,-220 ,199 ,-120 ,160 ,-637 ,164 ,-126 ,747 ,-141 ,153 ,-11 
2014-06-24,1994.35 ,0.0098 ,-2519 ,288 ,2273 ,385 ,42 ,-34 ,6 ,-87 ,1396 ,-96 ,661 ,-7 
2014-06-23,1974.92 ,0.0035 ,-1260 ,106 ,1412 ,356 ,-263 ,515 ,-39 ,-76 ,443 ,331 ,145 ,-160 
2014-06-20,1968.07 ,-0.0120 ,2683 ,-898 ,768 ,1271 ,-10 ,1275 ,3 ,127 ,758 ,-230 ,-2427 ,-2533 
2014-06-19,1992.03 ,0.0013 ,104 ,-384 ,608 ,427 ,271 ,388 ,40 ,-163 ,-308 ,-44 ,-4 ,-300 
2014-06-18,1989.49 ,-0.0060 ,1389 ,1381 ,-2786 ,-4 ,26 ,-286 ,-1894 ,-153 ,-220 ,-185 ,-69 ,23 
2014-06-17,2001.55 ,0.0040 ,117 ,323 ,-443 ,-394 ,19 ,429 ,-6 ,-21 ,-206 ,-113 ,-150 ,10 
2014-06-16,1993.59 ,0.0014 ,-122 ,372 ,44 ,-162 ,21 ,-115 ,-68 ,15 ,249 ,199 ,-94 ,-276 
2014-06-13,1990.85 ,-0.0103 ,3598 ,-2551 ,-850 ,-469 ,-398 ,-223 ,-17 ,98 ,547 ,-412 ,25 ,-196 
2014-06-12,2011.65 ,-0.0015 ,1520 ,117 ,-1595 ,-416 ,-7 ,-1077 ,-18 ,60 ,277 ,-498 ,84 ,-37 
2014-06-11,2014.67 ,0.0014 ,-1280 ,1447 ,0 ,-308 ,43 ,182 ,-6 ,-158 ,282 ,-140 ,104 ,-174 
2014-06-10,2011.80 ,0.0109 ,-2227 ,2149 ,84 ,-319 ,49 ,228 ,-7 ,-91 ,-25 ,14 ,233 ,17 
2014-06-09,1990.04 ,-0.0027 ,-188 ,200 ,-46 ,154 ,166 ,117 ,-8 ,-65 ,242 ,-756 ,103 ,45 
2014-06-05,1995.48 ,-0.0065 ,1867 ,658 ,-4350 ,-1676 ,576 ,-986 ,-1700 ,-180 ,-16 ,-332 ,-35 ,1833 
2014-06-03,2008.56 ,0.0033 ,442 ,172 ,-596 ,-2808 ,143 ,-239 ,79 ,-222 ,1647 ,311 ,494 ,-29 
2014-06-02,2002.00 ,0.0035 ,-575 ,2136 ,-1611 ,-405 ,138 ,-1018 ,10 ,-80 ,269 ,-360 ,-166 ,54 
2014-05-30,1994.96 ,-0.0086 ,799 ,317 ,324 ,234 ,30 ,-482 ,-44 ,-42 ,270 ,315 ,43 ,-1416 
