date,index,fluc,individual,foreigner,institution,financial investment,insurance,investment trust,other financial,bank,national?pension,private equity fund,nation,other corp
2014-05-29,2012.26 ,-0.0024 ,-147 ,993 ,-660 ,93 ,-185 ,-387 ,-39 ,-171 ,97 ,90 ,-159 ,-131 
2014-05-28,2017.06 ,0.0097 ,-1739 ,1155 ,670 ,517 ,133 ,-526 ,-27 ,-66 ,562 ,-53 ,131 ,-16 
2014-05-27,1997.63 ,-0.0063 ,737 ,218 ,-876 ,-199 ,-316 ,-799 ,-20 ,-108 ,683 ,-91 ,-24 ,-51 
2014-05-26,2010.35 ,-0.0034 ,248 ,551 ,-751 ,768 ,-198 ,-1223 ,7 ,-35 ,287 ,-173 ,-185 ,-29 
2014-05-23,2017.17 ,0.0008 ,-610 ,1339 ,-663 ,898 ,-174 ,-1325 ,-11 ,-47 ,-77 ,-70 ,144 ,-48 
2014-05-22,2015.59 ,0.0036 ,-2344 ,2909 ,-484 ,-513 ,243 ,-324 ,-10 ,-269 ,39 ,263 ,89 ,-59 
2014-05-21,2008.33 ,-0.0015 ,-374 ,1884 ,-1413 ,-307 ,330 ,-1088 ,-61 ,-126 ,152 ,-390 ,77 ,-95 
2014-05-20,2011.26 ,-0.0019 ,-425 ,2665 ,-2308 ,-471 ,-201 ,-1340 ,-44 ,-169 ,69 ,-119 ,-33 ,123 
2014-05-19,2015.14 ,0.0008 ,-900 ,1824 ,-897 ,-1455 ,2042 ,-713 ,-96 ,-94 ,219 ,-223 ,-577 ,-8 
2014-05-16,2013.44 ,0.0016 ,56 ,4799 ,-4719 ,-670 ,-271 ,-2696 ,-25 ,-241 ,-472 ,-363 ,17 ,-138 
2014-05-15,2010.20 ,-0.0003 ,-1973 ,3716 ,-1533 ,-358 ,292 ,-672 ,-69 ,-101 ,-238 ,-306 ,-80 ,-183 
2014-05-14,2010.83 ,0.0141 ,-4924 ,3462 ,1558 ,847 ,383 ,232 ,30 ,-255 ,269 ,85 ,-33 ,-82 
2014-05-13,1982.93 ,0.0092 ,-3536 ,2131 ,1328 ,276 ,24 ,772 ,0 ,17 ,-86 ,317 ,9 ,103 
2014-05-12,1964.94 ,0.0043 ,58 ,-1002 ,835 ,-270 ,-120 ,608 ,-37 ,-8 ,425 ,129 ,108 ,136 
2014-05-09,1956.55 ,0.0031 ,-39 ,-552 ,466 ,-198 ,-83 ,727 ,14 ,-93 ,-21 ,4 ,117 ,141 
2014-05-08,1950.60 ,0.0055 ,1627 ,-2123 ,397 ,-1342 ,-234 ,1098 ,25 ,-122 ,647 ,332 ,-7 ,93 
